City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
61,Henties Bay,-22.116,14.2845,11.85,87,3,1.16,NA,2022-08-09 02:00:50
62,Sisimiut,66.9395,-53.6735,4.6,94,100,5.11,GL,2022-08-09 02:00:51
63,Dunedin,-45.8742,170.5036,8.22,60,86,2.68,NZ,2022-08-09 02:00:37
64,Richards Bay,-28.783,32.0377,18.49,84,81,8.01,ZA,2022-08-09 02:00:51
65,Salalah,17.0151,54.0924,24.32,97,100,2.9,OM,2022-08-09 01:57:45
66,Nioro,13.35,-15.75,24.45,94,70,2.11,GM,2022-08-09 02:00:52
67,Bengkulu,-3.8004,102.2655,26.66,77,6,1.71,ID,2022-08-09 02:00:53
68,Vestmanna,62.1564,-7.1664,10.51,100,100,4.63,FO,2022-08-09 02:00:53
69,Norman Wells,65.282,-126.8329,22.17,34,13,0.48,CA,2022-08-09 02:00:54
70,Rach Gia,10.0167,105.0833,26.77,77,100,9.82,VN,2022-08-09 02:00:55
71,Mahebourg,-20.4081,57.7,18.47,76,31,6.22,MU,2022-08-09 02:00:56
72,Maniago,46.1706,12.7078,18.98,87,3,2.66,IT,2022-08-09 02:00:57
73,Touros,-5.1989,-35.4608,23.3,88,22,5.73,BR,2022-08-09 02:00:57
74,Vaini,-21.2,-175.2,24.78,84,1,7.96,TO,2022-08-09 02:00:57
75,Cockburn Town,21.4612,-71.1419,27.74,87,100,10.12,TC,2022-08-09 02:00:58
76,Ahipara,-35.1667,173.1667,14.69,79,7,1.89,NZ,2022-08-09 02:00:58
77,Faanui,-16.4833,-151.75,24.92,61,47,7.33,PF,2022-08-09 02:00:59
78,North Platte,41.1239,-100.7654,25.21,61,0,5.81,US,2022-08-09 01:58:04
79,Ust-Maya,60.4167,134.5333,12.69,87,100,4.51,RU,2022-08-09 02:01:00
80,Dvinskoy,62.1535,45.1175,12.3,77,100,0.86,RU,2022-08-09 02:01:00
81,Kruisfontein,-34.0033,24.7314,10.49,88,100,3.16,ZA,2022-08-09 02:01:01
82,Guerrero Negro,27.9769,-114.0611,25.17,72,14,6.9,MX,2022-08-09 02:01:01
83,Alofi,-19.0595,-169.9187,24.72,76,5,9.51,NU,2022-08-09 02:01:02
84,Port Hardy,50.6996,-127.4199,15.9,75,1,5.59,CA,2022-08-09 02:00:18
85,Forbes,-33.3833,148.0167,15.51,64,0,2.64,AU,2022-08-09 02:01:02
86,Znamenskoye,57.1281,73.8282,17.26,67,76,2.58,RU,2022-08-09 02:01:03
87,Dossor,47.5272,52.9811,26.6,39,8,3.38,KZ,2022-08-09 02:01:03
88,Hambantota,6.1241,81.1185,25.19,100,20,3.09,LK,2022-08-09 02:01:04
89,Dikson,73.5069,80.5464,5.58,96,45,8.65,RU,2022-08-09 02:02:04
90,Dongsheng,39.8161,109.9776,16.86,85,99,7.02,CN,2022-08-09 02:00:31
91,Port Blair,11.6667,92.75,27.78,82,100,8.71,IN,2022-08-09 02:02:05
92,Koshurnikovo,54.1667,93.3,18.31,62,6,0.67,RU,2022-08-09 02:02:06
93,Georgetown,5.4112,100.3354,29.96,74,20,0.0,MY,2022-08-09 02:00:18
94,Iskateley,67.6803,53.1512,11.45,77,57,5.67,RU,2022-08-09 02:02:06
95,Sinnamary,5.3833,-52.95,26.25,85,95,4.59,GF,2022-08-09 02:02:07
96,Hilo,19.7297,-155.09,31.82,88,56,1.34,US,2022-08-09 02:02:07
97,Khatanga,71.9667,102.5,18.64,64,55,9.05,RU,2022-08-09 02:02:08
98,Bang Saphan,11.2126,99.5117,25.25,90,100,2.14,TH,2022-08-09 02:02:08
99,Cap Malheureux,-19.9842,57.6142,18.59,77,2,0.45,MU,2022-08-09 02:02:09
100,Abnub,27.2696,31.1511,29.52,31,1,3.04,EG,2022-08-09 02:02:09
101,Aqtobe,50.2797,57.2072,18.05,77,13,1.0,KZ,2022-08-09 01:59:41
102,Salinopolis,-0.6136,-47.3561,26.12,84,73,4.97,BR,2022-08-09 02:02:10
103,Puerto Ayora,-0.7393,-90.3518,20.31,88,92,1.34,EC,2022-08-09 02:02:11
104,Mnogovershinnyy,53.9353,139.9242,17.55,76,84,1.56,RU,2022-08-09 02:02:13
105,Yar-Sale,66.8333,70.8333,14.2,71,97,4.58,RU,2022-08-09 02:02:14
